numeActiune,timestamp
Adaugare client,28/04/2021 18:17:33
Client adaugat,28/04/2021 18:17:33
Afisare clienti,28/04/2021 18:17:35
Afisare clienti,28/04/2021 18:19:23
Adaugare client,28/04/2021 18:19:48
Client adaugat,28/04/2021 18:19:48
Afisare clienti,28/04/2021 18:19:50
Afisare clienti,28/04/2021 18:21:54
afisare programare,28/04/2021 18:21:58
Afisare clienti,28/04/2021 18:22:22
Afisare clienti,28/04/2021 18:22:26
Afisare clienti,28/04/2021 18:26:29
client sters,28/04/2021 18:26:41
Adaugare client,24/05/2021 15:36:17
Client adaugat,24/05/2021 15:36:17
Afisare clienti,24/05/2021 15:36:19
Modificare clienti,24/05/2021 15:44:43
Afisare clienti,24/05/2021 15:44:46
statistica covid,24/05/2021 15:45:05
medie experienta medici,24/05/2021 15:45:19
cel mai vechi medic,24/05/2021 15:45:42
Afisare clienti,24/05/2021 16:11:47
Afisare clienti,24/05/2021 16:16:05
Afisare clienti,24/05/2021 16:18:32
Afisare clienti,24/05/2021 16:20:25
Afisare clienti,24/05/2021 16:20:41
Afisare clienti,24/05/2021 16:24:10
medie experienta medici,24/05/2021 16:24:48
Afisare clienti,24/05/2021 16:25:10
Adaugare client,24/05/2021 16:26:00
Client adaugat,24/05/2021 16:26:00
Adaugare client,24/05/2021 16:26:29
Client adaugat,24/05/2021 16:26:29
Adaugare client,24/05/2021 16:26:57
Client adaugat,24/05/2021 16:26:57
Adaugare client,24/05/2021 16:27:28
Client adaugat,24/05/2021 16:27:28
Adaugare client,24/05/2021 16:27:53
Client adaugat,24/05/2021 16:27:53
Afisare clienti,24/05/2021 16:27:56
adaugare programare,24/05/2021 17:00:22
afisare programare,24/05/2021 17:00:25
